name,follow,view,like,videos,frequency,mid
籽岷,4394947 ,1269591073 ,122836979 ,79 ,周更,686127 
大象放映室,4320352 ,260752152 ,13310269 ,29 ,双周更,49246269 
进击的金厂长,4161635 ,957565532 ,71658033 ,28 ,双周更,321422126 
知了解压萌物,4116340 ,278871227 ,24080022 ,30 ,双周更,1335713025 
瓶子君152,3936159 ,570070037 ,37352516 ,26 ,双周更,730732 
特效小哥studio,3927396 ,410143546 ,35756684 ,29 ,双周更,3066511 
芳斯塔芙,3875808 ,371779837 ,22074245 ,30 ,双周更,72270557 
食贫道,3869509 ,337455502 ,23500279 ,29 ,双周更,39627524 
HOLA小测佬,3857602 ,754109795 ,36573267 ,29 ,双周更,406636263 
小Lin说,3746016 ,186914991 ,7618117 ,26 ,双周更,520819684 
极客湾Geekerwan,3745506 ,338437449 ,19268721 ,28 ,双周更,25876945 
与山0v0,3694169 ,746817457 ,50170382 ,25 ,月更,26240675 
-LKs-,3648213 ,371740579 ,27217751 ,27 ,双周更,125526 
浑元Rysn,3524002 ,493155515 ,42716547 ,19 ,月更,42561463 
Meetfood觅食,3490195 ,605573782 ,39409843 ,29 ,双周更,447317111 
老戴在此,3485794 ,658439733 ,23461096 ,30 ,双周更,2142762 
哦呼w,3362130 ,605231340 ,40175012 ,29 ,双周更,59905809 
取景框看世界,3329288 ,135663687 ,11727549 ,25 ,月更,40427625 
小王Albert,3048721 ,232495186 ,15701394 ,27 ,双周更,1140672573 
上班族的便当,2840246 ,407300126 ,13201099 ,29 ,双周更,50660116 
叫我死盖就好,2791584 ,192562325 ,16522529 ,30 ,双周更,1241806378 
司墨尧smile,2760665 ,327138898 ,29984165 ,28 ,双周更,17134369 
本喵叫兔兔,2723843 ,514480130 ,50900250 ,29 ,双周更,508416316 
河野华,2690916 ,194504494 ,22231436 ,21 ,月更,18343098 
凤凰传奇,2683627 ,160071887 ,14683955 ,19 ,月更,1646036311 
极速拍档,2611580 ,399166265 ,19556717 ,29 ,双周更,25150941 
硬件茶谈,2602696 ,145647463 ,9200452 ,29 ,双周更,14871346 
李白尼的猜想,2560000 ,265104859 ,11406969 ,30 ,双周更,1195284234 
Chubbyemu,2311783 ,139281285 ,8087328 ,20 ,月更,297786973 
芦苇十三少,2280723 ,404802835 ,20535645 ,29 ,双周更,5818410 
哈米伦的弄笛者,2279297 ,363390202 ,45259230 ,26 ,双周更,11742550 
啊粥粥啊粥,2278617 ,231425431 ,8835800 ,27 ,双周更,8096990 
范李猿,2255569 ,106943832 ,4780615 ,23 ,月更,63486758 
小透明明TM,2214257 ,213206040 ,13911974 ,26 ,双周更,192090 
知名相声演员BBBBB大王,2176308 ,228809767 ,15087470 ,29 ,双周更,15892313 
原野郎中,2112073 ,338470780 ,13020863 ,29 ,双周更,27717433 
Jason-老湿,2104504 ,190105339 ,10934938 ,26 ,双周更,540564177 
翠花不太脆,2097885 ,154762385 ,19034347 ,18 ,月更,337312411 
医学科普联盟,2095086 ,70121521 ,4007304 ,18 ,月更,38598226 
史蒂猪StevenPig,2086161 ,241140324 ,12742332 ,29 ,双周更,390527713 
